"Immigrants by country of emigration and purpose of arrival, 1993-2022"

"Country of immigration";"1993 Total";"1993 For work";"1993 For studies";"1993 Family reunification";"1993 Religious activities, humanitarian and voluntary";"1993 Other causes / reasons";"1994 Total";"1994 For work";"1994 For studies";"1994 Family reunification";"1994 Religious activities, humanitarian and voluntary";"1994 Other causes / reasons";"1995 Total";"1995 For work";"1995 For studies";"1995 Family reunification";"1995 Religious activities, humanitarian and voluntary";"1995 Other causes / reasons";"1996 Total";"1996 For work";"1996 For studies";"1996 Family reunification";"1996 Religious activities, humanitarian and voluntary";"1996 Other causes / reasons";"1997 Total";"1997 For work";"1997 For studies";"1997 Family reunification";"1997 Religious activities, humanitarian and voluntary";"1997 Other causes / reasons";"1998 Total";"1998 For work";"1998 For studies";"1998 Family reunification";"1998 Religious activities, humanitarian and voluntary";"1998 Other causes / reasons";"1999 Total";"1999 For work";"1999 For studies";"1999 Family reunification";"1999 Religious activities, humanitarian and voluntary";"1999 Other causes / reasons";"2000 Total";"2000 For work";"2000 For studies";"2000 Family reunification";"2000 Religious activities, humanitarian and voluntary";"2000 Other causes / reasons";"2001 Total";"2001 For work";"2001 For studies";"2001 Family reunification";"2001 Religious activities, humanitarian and voluntary";"2001 Other causes / reasons";"2002 Total";"2002 For work";"2002 For studies";"2002 Family reunification";"2002 Religious activities, humanitarian and voluntary";"2002 Other causes / reasons";"2003 Total";"2003 For work";"2003 For studies";"2003 Family reunification";"2003 Religious activities, humanitarian and voluntary";"2003 Other causes / reasons";"2004 Total";"2004 For work";"2004 For studies";"2004 Family reunification";"2004 Religious activities, humanitarian and voluntary";"2004 Other causes / reasons";"2005 Total";"2005 For work";"2005 For studies";"2005 Family reunification";"2005 Religious activities, humanitarian and voluntary";"2005 Other causes / reasons";"2006 Total";"2006 For work";"2006 For studies";"2006 Family reunification";"2006 Religious activities, humanitarian and voluntary";"2006 Other causes / reasons";"2007 Total";"2007 For work";"2007 For studies";"2007 Family reunification";"2007 Religious activities, humanitarian and voluntary";"2007 Other causes / reasons";"2008 Total";"2008 For work";"2008 For studies";"2008 Family reunification";"2008 Religious activities, humanitarian and voluntary";"2008 Other causes / reasons";"2009 Total";"2009 For work";"2009 For studies";"2009 Family reunification";"2009 Religious activities, humanitarian and voluntary";"2009 Other causes / reasons";"2010 Total";"2010 For work";"2010 For studies";"2010 Family reunification";"2010 Religious activities, humanitarian and voluntary";"2010 Other causes / reasons";"2011 Total";"2011 For work";"2011 For studies";"2011 Family reunification";"2011 Religious activities, humanitarian and voluntary";"2011 Other causes / reasons";"2012 Total";"2012 For work";"2012 For studies";"2012 Family reunification";"2012 Religious activities, humanitarian and voluntary";"2012 Other causes / reasons";"2013 Total";"2013 For work";"2013 For studies";"2013 Family reunification";"2013 Religious activities, humanitarian and voluntary";"2013 Other causes / reasons";"2014 Total";"2014 For work";"2014 For studies";"2014 Family reunification";"2014 Religious activities, humanitarian and voluntary";"2014 Other causes / reasons";"2015 Total";"2015 For work";"2015 For studies";"2015 Family reunification";"2015 Religious activities, humanitarian and voluntary";"2015 Other causes / reasons";"2016 Total";"2016 For work";"2016 For studies";"2016 Family reunification";"2016 Religious activities, humanitarian and voluntary";"2016 Other causes / reasons";"2017 Total";"2017 For work";"2017 For studies";"2017 Family reunification";"2017 Religious activities, humanitarian and voluntary";"2017 Other causes / reasons";"2018 Total";"2018 For work";"2018 For studies";"2018 Family reunification";"2018 Religious activities, humanitarian and voluntary";"2018 Other causes / reasons";"2019 Total";"2019 For work";"2019 For studies";"2019 Family reunification";"2019 Religious activities, humanitarian and voluntary";"2019 Other causes / reasons";"2020 Total";"2020 For work";"2020 For studies";"2020 Family reunification";"2020 Religious activities, humanitarian and voluntary";"2020 Other causes / reasons";"2021 Total";"2021 For work";"2021 For studies";"2021 Family reunification";"2021 Religious activities, humanitarian and voluntary";"2021 Other causes / reasons";"2022 Total";"2022 For work";"2022 For studies";"2022 Family reunification";"2022 Religious activities, humanitarian and voluntary";"2022 Other causes / reasons"
"Total";1769;84;637;1048;..;..;1543;109;513;921;..;..;1477;98;381;998;..;..;1786;121;767;898;..;..;1624;126;745;753;..;..;1558;188;866;504;..;..;1517;327;824;366;-;-;1321;291;740;290;-;-;1293;291;679;323;-;-;1297;364;620;313;-;-;1620;505;686;429;-;-;1706;540;615;551;-;-;2056;731;672;653;-;-;1968;828;445;695;-;-;2070;1002;221;847;-;-;2749;1136;513;1100;-;-;2010;590;514;906;-;-;2512;813;794;905;-;-;2704;865;720;854;251;14;3093;955;614;1054;149;321;3349;1062;708;1073;159;347;4187;1359;928;1242;201;457;4209;1201;818;1442;282;466;4080;1052;869;1442;218;499;3708;829;716;1437;244;482;4223;899;805;1580;243;696;4857;1876;652;1628;306;395;2875;1305;241;1046;108;175;4186;1764;510;1497;167;248;5928;2628;676;1969;315;340
"Afghanistan";15;..;..;..;..;..;12;..;..;..;..;..;6;..;..;..;..;..;6;..;..;..;..;..;4;..;..;..;..;..;2;..;..;..;..;..;4;-;-;4;-;-;2;-;-;2;-;-;1;-;-;1;-;-;1;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;3;1;-;2;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;5;-;-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"South Africa";-;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;2;2;-;-;-;-;3;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;4;2;-;2;-;-;3;-;-;-;-;3;-;-;-;-;-;-;1;1;-;-;-;-;3;2;-;1;-;-;3;1;1;-;1;-
"Albania";1;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;1;..;..;..;..;..;1;-;1;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;2;1;-;1;-;-;4;2;1;1;-;-;1;-;-;1;-;-;3;2;-;1;-;-;5;3;-;2;-;-;2;-;-;2;-;-;1;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;4;3;1;-;-;-;5;1;1;3;-;-;8;5;-;2;1;-;9;7;-;2;-;-;6;4;-;2;-;-;6;2;-;2;-;2;1;-;-;1;-;-;4;2;-;2;-;-;3;2;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;4;4;-;-;-;-
"Algeria";1;..;..;..;..;..;-;..;..;..;..;..;2;..;..;..;..;..;1;..;..;..;..;..;-;..;..;..;..;..;2;..;..;..;..;..;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;1;-;-;1;-;-;2;-;-;1;1;-;1;-;-;1;-;-;3;-;-;3;-;-;1;-;-;1;-;-;2;1;-;1;-;-;1;1;-;-;-;-;4;2;-;2;-;-;3;1;-;2;-;-
"Angola";15;..;..;..;..;..;1;..;..;..;..;..;1;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Saudi Arabia";-;..;..;..;..;..;-;..;..;..;..;..;2;..;..;..;..;..;1;..;..;..;..;..;-;..;..;..;..;..;1;..;..;..;..;..;1;-;1;-;-;-;3;-;2;1;-;-;3;-;3;-;-;-;5;-;5;-;-;-;4;-;4;-;-;-;4;-;4;-;-;-;14;1;12;1;-;-;3;2;1;-;-;-;-;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;3;2;1;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Argentina";-;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;1;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;2;2;-;-;-;-;2;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;1;1;-;-;-;-;1;-;-;1;-;-;2;2;-;-;-;-;2;1;-;1;-;-;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;3;3;-;-;-;-;3;1;1;1;-;-;3;2;-;1;-;-
"Armenia";24;..;..;..;..;..;33;..;..;..;..;..;19;..;..;..;..;..;15;..;..;..;..;..;11;..;..;..;..;..;5;..;..;..;..;..;4;1;-;3;-;-;17;3;-;14;-;-;16;5;1;10;-;-;11;5;1;5;-;-;14;4;2;8;-;-;24;7;-;17;-;-;33;6;4;23;-;-;35;11;1;23;-;-;27;4;-;23;-;-;29;4;2;23;-;-;33;8;3;22;-;-;35;10;6;19;-;-;21;10;1;10;-;-;29;7;-;12;1;9;21;2;-;17;-;2;29;3;-;24;-;2;29;4;-;22;1;2;33;5;-;24;-;4;32;4;1;20;4;3;31;4;-;23;1;3;35;12;-;17;-;6;23;6;-;14;1;2;27;6;-;19;-;2;28;8;-;17;2;1
"Australia";-;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;-;..;..;..;..;..;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;-;2;-;-;2;-;-;3;2;-;1;-;-;1;-;-;1;-;-;1;-;-;1;-;-;3;2;-;1;-;-;5;5;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;1;-;1;2;-;-;1;1;-;5;-;-;-;4;1;2;1;-;-;1;-;4;-;-;-;2;2;11;1;1;3;6;-;1;-;-;1;-;-;5;2;-;2;1;-;3;3;-;-;-;-;6;2;-;-;3;1
